split,horizon,n_valid,n_positive,positive_rate
train,t+1,953,138,0.14480587618048268
train,t+2,881,162,0.18388195232690124
train,t+3,809,156,0.19283065512978986
train,t+4,746,168,0.225201072386059
train,t+5,677,177,0.2614475627769572
val,t+1,204,35,0.1715686274509804
val,t+2,195,48,0.24615384615384617
val,t+3,181,54,0.2983425414364641
val,t+4,167,54,0.32335329341317365
val,t+5,150,47,0.31333333333333335
test,t+1,245,41,0.1673469387755102
test,t+2,224,41,0.18303571428571427
test,t+3,202,41,0.20297029702970298
test,t+4,183,41,0.22404371584699453
test,t+5,163,40,0.24539877300613497
