,PIGD,UPO_part2_tot,UPO_part3_tot,UPO27,UPO15,UPO_part4_tot,STROOPW,MMSE_tot,IQCODE_mean,STROOPC,MCI_15SD_MDScriteria,madrs10,madrs_tot,npi8hi,pdss02,pdss_tot,epwo6,URINDYS,CONSTIPAT,PressStand_Dia,SEON,fss2,fss_sum,fss5,sf36pf,sf36pcs,PHYFUN,HYON
PIGD,1.0,-0.32041765721675686,-0.2985693862161525,-0.4865455297789445,-0.5992237413766702,-0.181442636881407,0.3030627318256262,0.22376357603874455,-0.23536682081741703,0.27164749583334,-0.2678930320688883,-0.09853300563668527,-0.12820383216593026,-0.05689248789016515,0.027434333874647474,0.14612982366112584,-0.12178162338370067,-0.3341943274013733,-0.19581514910016265,0.17112161419060798,0.4645649462753423,-0.1947104190435486,-0.21953586701594247,-0.2290827895236816,0.4515336476650789,0.4115020112342303,0.44159958523369564,-0.43712494721140505
UPO_part2_tot,-0.32041765721675686,1.0,0.6573110894747713,0.6496252669396795,0.613432494416474,0.10768930083516515,-0.35633721040829447,-0.30171393071879843,0.34098466759698626,-0.3908707662813447,0.39650424551368274,0.1395990364616194,0.31426566769360575,0.056947142665761036,-0.07313341438487182,-0.10628419957111937,0.12371570620064504,0.20066967830931476,0.2410354845997897,-0.0972903191031573,-0.6463383952959157,0.15241172788101426,0.22454416988333475,0.1319909500677563,-0.47605613661379187,-0.39530418885883767,-0.470190089437385,0.6167730068529979
UPO_part3_tot,-0.2985693862161525,0.6573110894747713,1.0,0.6700515994151486,0.6201478953970369,-0.00615395110709413,-0.6156998083815121,-0.5255525773817844,0.4885386735954544,-0.5952525379299084,0.6023855767588439,0.23995525151024275,0.363694906057642,0.13122755536926178,-0.0640792114618911,-0.05656137330868759,0.21360977533035333,0.2896107304332381,0.3497935529831374,-0.1755244194475844,-0.8140844484809195,0.08506205255595722,0.14465602963387317,0.11572588560171204,-0.40290293798185567,-0.25980229277145467,-0.40119292141102153,0.8252137084514609
UPO27,-0.4865455297789445,0.6496252669396795,0.6700515994151486,1.0,0.8526737401441911,0.03116749580921342,-0.47070349297165043,-0.4425741748059517,0.43851823087983394,-0.4485615227641894,0.5224615687207621,0.25955814914380254,0.2574503469108407,0.07489912155902965,-0.019931282844571754,-0.07297904523960716,0.15389586511137207,0.30821000997446785,0.242172707903512,-0.14158429121449248,-0.8128225225815829,0.21005415473460654,0.23322122075229862,0.19642174713896998,-0.5846610303872462,-0.429652933900901,-0.5777418700891133,0.786283935367349
UPO15,-0.5992237413766702,0.613432494416474,0.6201478953970369,0.8526737401441911,1.0,0.10354821380846334,-0.478150173734124,-0.4125011575372542,0.43306421755754254,-0.42091210253765704,0.533833632424265,0.22105404650292473,0.28910469538638667,0.11351290672241492,-0.09227889118635678,-0.12385029366711216,0.14408688826919053,0.35518726948253837,0.21378160356429965,-0.13654161051028554,-0.8016923050552411,0.20147697330416156,0.20179459385618678,0.19945576322934006,-0.6315083327387316,-0.4842522935173762,-0.6262952848556559,0.7532973691200362
UPO_part4_tot,-0.181442636881407,0.10768930083516515,-0.00615395110709413,0.03116749580921342,0.10354821380846334,1.0,0.06662649496800493,-0.001957013858150711,0.030150853344342945,0.03510916149612179,-0.0007816043192755095,0.25482755966839904,0.3082865145181135,0.04501536620310236,-0.1641509876242883,-0.4817351360530477,0.1467541298960904,0.09614368514640648,0.0574154692512222,-0.18668218047265173,-0.07914544997955288,0.15839908051305196,0.23406118105176035,0.3137526785380317,-0.162513090048339,-0.3122940396445355,-0.16292599563474905,0.06833649012478103
STROOPW,0.3030627318256262,-0.35633721040829447,-0.6156998083815121,-0.47070349297165043,-0.478150173734124,0.06662649496800493,1.0,0.6710026773774611,-0.5592294703893231,0.8563133884105987,-0.7116130242632899,-0.06460063266490391,-0.19289054295856872,-0.15259769714995844,-0.028661189952791134,-0.04110254554101095,-0.16382331178809914,-0.25340635247558857,-0.2620812581640167,0.2637587260510183,0.6152906992963335,-0.1013991157897404,-0.0686367908658773,-0.0455193729091414,0.35743771125630946,0.20566141231106558,0.36296738762395997,-0.576393644557067
MMSE_tot,0.22376357603874455,-0.30171393071879843,-0.5255525773817844,-0.4425741748059517,-0.4125011575372542,-0.001957013858150711,0.6710026773774611,1.0,-0.6659036139728702,0.6722545666497027,-0.7907733066551353,-0.1728442045523367,-0.2610538277972273,-0.17517320749267826,-0.03900857307666798,-0.10089017897918291,-0.195669013189003,-0.15041278552426346,-0.2913596966349444,0.2290064381291017,0.6070347986912012,-0.017852708847958195,0.052689196007227324,0.06284328897249979,0.22926268412677267,0.10432192443224156,0.23326961377226477,-0.5173791114084191
IQCODE_mean,-0.23536682081741703,0.34098466759698626,0.4885386735954544,0.43851823087983394,0.43306421755754254,0.030150853344342945,-0.5592294703893231,-0.6659036139728702,1.0,-0.5980069273737993,0.7331878752937603,0.11173207568020939,0.2922429893212256,0.35827214908014676,0.04481883511800835,0.020003878304487764,0.19139878682695238,0.25850129332890837,0.2993705229928644,-0.16020941341542036,-0.5683819728324806,0.055347555333923666,0.07805138081349575,0.006375618869919172,-0.3245802030672906,-0.1748053479750091,-0.33092314897003533,0.5060069233466987
STROOPC,0.27164749583334,-0.3908707662813447,-0.5952525379299084,-0.4485615227641894,-0.42091210253765704,0.03510916149612179,0.8563133884105987,0.6722545666497027,-0.5980069273737993,1.0,-0.7320696198888048,-0.03315271505556829,-0.21282861034190004,-0.15372463245676915,-0.029127445362884547,-0.051189647549764135,-0.1481424053033938,-0.20845933583167453,-0.3113451203532718,0.24018490261262088,0.6072830983450087,-0.10435258273839541,-0.08143864888793739,-0.05055102004970999,0.37232206662740047,0.2379719762456689,0.37712736602188673,-0.5657311792143433
