Feature,Avg Absolute Correlation
SEON,0.4308353383587664
HYON,0.41177994309063415
PHYFUN,0.38453002879807335
sf36pf,0.3832335727849863
UPO15,0.38059494606792554
UPO27,0.37051510203869026
UPO_part3_tot,0.35758429101600003
sf36pcs,0.33659366209857494
MCI_15SD_MDScriteria,0.3233299826513814
STROOPW,0.3158916737173335
STROOPC,0.31449753007727377
UPO_part2_tot,0.30719414083153107
IQCODE_mean,0.29657048021780025
MMSE_tot,0.2910024230939231
madrs_tot,0.2880490756699485
PIGD,0.2613461792343312
fss_sum,0.2592832455478246
fss5,0.2513652971365049
URINDYS,0.2354792223391733
fss2,0.21966492080841643
CONSTIPAT,0.20467990093050542
pdss_tot,0.19638787093326787
madrs10,0.17830736804408387
PressStand_Dia,0.16038391522202272
epwo6,0.14241718025297595
UPO_part4_tot,0.1356094914569772
pdss02,0.1126061547585057
npi8hi,0.10440969163206797
