,median,mean,std
PIGD,1.0,1.759387351778656,0.9068917328350885
UPO27,0.0,0.6788357178095707,1.0847416231936802
UPO_part2_ON_tot,11.0,12.655946148092745,7.336120506978206
UPO_part2_tot,8.0,8.082799408575653,4.760749784491114
UPO37,0.0,0.06012814194184327,0.2377827048699169
UPO_part4_tot,1.0,1.756037456875308,2.023802948251075
UPO2,0.0,0.42828979793001476,0.7990428709800939
UPO_part1_tot,2.0,2.3514046328240514,2.3898256248433722
STROOPW,72.0,70.39583333333333,20.954886355198234
PDD,0.0,0.09132888660851719,0.288150173835732
HAD7,1.0,0.7970565453137103,0.7790019528451666
HAD4,0.0,0.5251742835011619,0.6658513439480122
dayslee4,1.0,0.7182030338389732,0.7765131041402157
dayslee3,1.0,1.3144690781796966,0.70916820077356
URINDYS,1.0,0.747903305377405,0.7728674410692196
CONSTIPAT,0.0,0.5552268244575936,0.7117363426444672
stress12,0.0,0.18797629127857748,0.6149750327963274
stress4,0.0,0.4106239460370995,0.8128847097166254
hl3g,2.0,1.9920382165605095,0.8091617494187847
sf36pf,64.99999999999999,61.25530785562633,26.03111211901351
delta_PIGD,0.0,-0.04523682810005322,0.6222510877399529
delta_UPO27,0.0,0.09037745879851143,0.6647011134450042
delta_UPO_part2_ON_tot,1.0,0.8765432098765432,3.3110918232776103
delta_UPO_part2_tot,0.0,0.14710568242166755,1.5603774383940918
delta_UPO37,0.0,0.01009028146574615,0.27929648663266626
delta_UPO_part4_tot,0.0,0.16622411046202867,1.5505941155821856
delta_UPO2,0.0,0.056293149229952204,0.7119866856052001
delta_UPO_part1_tot,0.0,0.1609134360063728,1.509840767742525
delta_STROOPW,0.0,-1.051474840948525,5.822828772898342
delta_PDD,0.0,0.015393073117097306,0.12314407464554977
delta_HAD7,0.0,0.0017035775127768314,0.40033723299687335
delta_HAD4,0.0,0.011073253833049404,0.36334156239479
delta_dayslee4,0.0,0.01585288522511097,0.38085836618719476
delta_dayslee3,0.0,0.04121750158528852,0.4591987493108262
delta_URINDYS,0.0,0.014354066985645933,0.3378691363431872
delta_CONSTIPAT,0.0,0.0037194473963868225,0.3236011188801279
delta_stress12,0.0,0.0148975791433892,0.2512997688879865
delta_stress4,0.0,0.036178107606679034,0.39447090171077054
delta_hl3g,0.0,-0.04250430786904078,0.33292044648583563
delta_sf36pf,0.0,-1.9270534175761056,9.586560749419853
