,median,mean,std
SEON,90.0,81.07881773399015,16.324961900597785
UPO30,0.0,0.6467391304347826,0.9661647296680865
UPO_part3_tot,21.0,22.799407114624508,12.35599320617296
UPO11,0.0,0.5377033021192705,0.6729361381656125
UPO10,1.0,0.8250369640216856,0.6782359508631519
UPO12,0.0,0.4972893050763923,0.6501536349983276
UPO39,0.0,0.41892557910300643,0.7384592874439666
UPO35,0.0,0.06801379990142928,0.2518316487192353
UPO33,0.0,0.0586495810744209,0.3187289072203859
npi_sum_HxI,4.0,7.4736231884057975,10.220028612226525
npi7hi,0.0,1.1583427922814984,2.5796590375697983
UPO4,1.0,0.8733366190241498,0.9322322447388164
iqc14,3.0,3.497155858930603,0.6994126242424547
iqc23,3.0,3.196814562002275,0.5522768938931757
iqc12,3.0,3.1684689812179854,0.4914607842774615
HAD13,0.0,0.4415182029434547,0.6459981906052796
HAD_sumA,4.0,5.003098373353989,3.6844516811990324
madrs10,0.0,0.06475583864118896,0.29340402208048966
epwo5,3.0,2.3545647558386413,0.9763944487465961
pdss02,9.0,8.08572186836518,2.607121453259148
sleephou,4.0,3.569532908704883,0.7558907232049675
PressStand_Dia,80.0,79.26463231615809,12.176361054144914
OLFACTOR,0.0,0.3254320987654321,0.4686517996814418
SWEAT,0.0,0.32790927021696253,0.6340682870575197
fss5,4.0,3.68895966029724,1.98610820176829
fss3,5.0,4.373142250530786,1.8485804284834035
fss2,5.0,4.718152866242038,1.8200131266523003
TPF,42.0,40.43683651804671,10.704585394007232
hl3f,2.0,2.005307855626327,0.7265348254549842
hl3b,2.0,2.1024416135881103,0.7167033636072865
delta_SEON,0.0,-1.8232484076433122,8.274118793291162
delta_UPO30,0.0,0.07770090473656201,0.573025000016128
delta_UPO_part3_tot,1.0,1.099521021820117,6.110989314242477
delta_UPO11,0.0,0.018056293149229952,0.2836175955513638
delta_UPO10,0.0,0.02389803505045141,0.3091971266626086
delta_UPO12,0.0,0.01168348380244291,0.2820742240675086
delta_UPO39,0.0,0.048327137546468404,0.5723909204602482
delta_UPO35,0.0,0.004779607010090282,0.26778600225888693
delta_UPO33,0.0,0.01168348380244291,0.30383919917715246
delta_npi_sum_HxI,0.0,0.5266792215944758,5.413267489023148
delta_npi7hi,0.0,0.06265356265356266,1.3018849123091405
delta_UPO4,0.0,0.03027084439723845,0.7431138216293496
delta_iqc14,0.0,0.035076923076923075,0.3029012172380953
delta_iqc23,0.0,0.033846153846153845,0.27536189973229014
delta_iqc12,0.0,0.031384615384615386,0.23723492416995962
delta_HAD13,0.0,0.002555366269165247,0.29631486833187687
delta_HAD_sumA,0.0,0.04514480408858603,1.5290891608661512
delta_madrs10,0.0,0.0017231476163124641,0.18413330777685344
delta_epwo5,0.0,0.0034462952326249283,0.40963911944217285
delta_pdss02,0.0,-0.0005743825387708214,1.2870931843877471
delta_sleephou,0.0,-0.0022975301550832855,0.372927845690822
delta_PressStand_Dia,0.0,-0.5409924487594391,8.345817097135022
delta_OLFACTOR,0.0,-0.011708355508249068,0.32284545620717675
delta_SWEAT,0.0,0.003188097768331562,0.316127612552384
delta_fss5,0.0,0.05571510626076967,0.9320585407508545
delta_fss3,0.0,0.022400919012062034,0.9160529912891118
delta_fss2,0.0,0.05571510626076967,0.896864152084728
delta_TPF,0.0,-0.7828834003446296,3.96898391158489
delta_hl3f,0.0,-0.040206777713957496,0.3262337550982891
delta_hl3b,0.0,-0.04192992533026996,0.32513402669761227
