,median,mean,std
PIGD_nevner,0.4,0.6855731225296443,0.7098135403576558
UPO27,0.0,0.6788357178095707,1.0847416231936802
UPO_part2_tot,8.0,8.082799408575653,4.760749784491114
UPO29,1.0,0.8447511089206505,0.9846195410844774
UPO15,1.0,0.8871365204534253,0.6983900417997994
SEON,90.0,81.07881773399015,16.324961900597785
UPO30,0.0,0.6467391304347826,0.9661647296680865
UPO_part2_ON_tot,11.0,12.655946148092745,7.336120506978206
PIGD,1.0,1.759387351778656,0.9068917328350885
UPO_part3_tot,21.0,22.799407114624508,12.35599320617296
delta_PIGD_nevner,0.0,0.06673762639701969,0.33279330721942
delta_UPO27,0.0,0.09037745879851143,0.6647011134450042
delta_UPO_part2_tot,0.0,0.14710568242166755,1.5603774383940918
delta_UPO29,0.0,0.08337758895379713,0.5627045470739425
delta_UPO15,0.0,0.017525225703664365,0.30617247987780777
delta_SEON,0.0,-1.8232484076433122,8.274118793291162
delta_UPO30,0.0,0.07770090473656201,0.573025000016128
delta_UPO_part2_ON_tot,1.0,0.8765432098765432,3.3110918232776103
delta_PIGD,0.0,-0.04523682810005322,0.6222510877399529
delta_UPO_part3_tot,1.0,1.099521021820117,6.110989314242477
