split,horizon,n_valid,n_positive,positive_rate
train,t+1,1171,150,0.12809564474807855
train,t+2,1092,180,0.16483516483516483
train,t+3,1013,185,0.18262586377097728
train,t+4,947,202,0.2133051742344245
train,t+5,876,212,0.2420091324200913
val,t+1,247,38,0.15384615384615385
val,t+2,238,52,0.2184873949579832
val,t+3,224,60,0.26785714285714285
val,t+4,209,61,0.291866028708134
val,t+5,190,53,0.2789473684210526
test,t+1,296,47,0.15878378378378377
test,t+2,275,48,0.17454545454545456
test,t+3,253,47,0.1857707509881423
test,t+4,234,48,0.20512820512820512
test,t+5,212,47,0.22169811320754718
